place,address
Picasso Statue,"50 W Washington St Richard J. Daley Plaza Civic Center, Chicago, IL 60602-1305"
The Peggy Notebaert Nature Museum,"2430 N Cannon Dr, Chicago, IL 60614-2874"
Water Tower Place,"835 N Michigan Ave, Chicago, IL 60611-2203"
CIBC Theatre,"18 W Monroe St, Chicago, IL 60603-2400"
Macy's on State Street,"111 N State St, Chicago, IL 60602-1659"
Chicago Children's Museum,"700 E Grand Ave, Chicago, IL 60611-3436"
Soldier Field,"1410 S Museum Campus Dr, Chicago, IL 60605-2902"
James M. Nederlander Theatre,"24 W Randolph St, Chicago, IL 60601-3501"
Harold Washington Library Center,"400 S State St, Chicago, IL 60605-1216"
Guaranteed Rate Field,"333 W 35th St, Chicago, IL 60616-3696"
Holy Trinity Orthodox Cathedral,"1121 N Leavitt St, Chicago, IL 60622-3502"
Adler Planetarium,"1300 S. DuSable Lake Shore Dr., Chicago, IL 60605-2489"
Engine 18 Chicago Fire,"1360 S Blue Island Ave, Chicago, IL 60608-1585"
Wrigley Building,"410 N Michigan Ave, Chicago, IL 60611-4213"
Union Station,"225 S Canal St, Chicago, IL 60606-5702"
National Museum of Mexican Art,"1852 W 19th St, Chicago, IL 60608-2706"
Graceland Cemetery,"4001 N Clark St, Chicago, IL 60613-1992"
Goose Island Beer Co.,"1800 W Fulton St, Chicago, IL 60612-2512"
Tribune Tower,"435 N Michigan Ave, Chicago, IL 60611-4066"
Goodman Theatre,"170 N Dearborn St, Chicago, IL 60601-3356"
Michigan Avenue Bridge,"333 N Michigan Ave, Chicago, IL 60601-3901"
Grant Park,"337 E Randolph St, Chicago, IL 60601"
The Rookery Building,"209 S La Salle St, Chicago, IL 60604-1219"
Lyric Opera of Chicago,"20 N Wacker Dr, Chicago, IL 60606-2806"
American Writers Museum,"180 N Michigan Ave 2nd Floor, Chicago, IL 60601-7401"
Crown Fountain,"201 E Randolph St Millennium Park, Chicago, IL 60601-6530"
Medieval Torture Museum,"177 N State St, Chicago, IL 60601-3607"
Chicago Shakespeare Theater on Navy Pier,"800 E Grand Ave, Chicago, IL 60611-5436"
Calder’s Flamingo,"50 W Adams St Federal Plaza, Chicago, IL 60603-5107"
The McCormick Bridgehouse & Chicago River Museum,"376 N Michigan Ave Enter at Riverwalk Level, Chicago, IL 60601-3807"
Marina City,"300 N State St, Chicago, IL 60654-5414"
The Escape Game Chicago,"42 E Ontario St, Chicago, IL 60611-2710"
Chagall's Four Seasons,"10 S Dearborn St Chase Tower, Chicago, IL 60603-2300"
Pilsen,"1831 S Halsted St, Chicago, IL 60608-3455"
Merchandise Mart,"222 Merchandise Mart Plz Suite 107, Chicago, IL 60654-1103"
Willie Dixon's Blues Heaven Foundation,"2120 S Michigan Ave, Chicago, IL 60616-1713"
International Museum of Surgical Science,"1524 North Lake Shore Drive, Chicago, IL 60610"
Rockefeller Memorial Chapel,"5850 S Woodlawn Ave, Chicago, IL 60637-1628"
Andersonville, 
Ohio Street Beach,"400 N Lake Shore Dr, Chicago, IL 60611-4308"
Chicago Board of Trade Building,"141 W Jackson Blvd La Salle Street, Chicago, IL 60604-2992"
Joffrey Ballet of Chicago, 
Devon Avenue, 
Alfred Caldwell Lily Pool,"Fullerton Avenue, between N. Cannon and N. Stockton between North Cannon Drive and North Stockon Drive, Chicago, IL 60614"
DuSable Museum of African American History,"740 E 56th Pl Hyde Park, Chicago, IL 60637-1408"
Wicker Park,"1425 N Damen Ave, Chicago, IL 60622-1997"
Newberry Library,"60 West Walton Street, Chicago, IL 60610-3305"
Museum Of Illusions Chicago,"25 E Washington St, Chicago, IL 60602-1708"
Boystown, 
North Avenue Beach,"1600 North Lake Shore Drive, Chicago, IL 60613"
Museum of Contemporary Art,"220 E Chicago Ave, Chicago, IL 60611-2644"
John Hancock Center,"875 N Michigan Ave, Chicago, IL 60611-1803"
McCormick Place,"2301 S Lake Shore Dr, Chicago, IL 60616-1419"
Fourth Presbyterian Church,"126 E Chestnut St at North Michigan Avenue, Chicago, IL 60611-2094"
Cadillac Palace Theatre,"151 W Randolph St, Chicago, IL 60601-3108"
Money Museum at the Federal Reserve Bank,"230 S La Salle St, Chicago, IL 60604-1413"
Oak Street Beach,"1000 N Lake Shore Dr, Chicago, IL 60611-5303"
Jackson Park's Japanese Garden, 
Carbide and Carbon Building,"230 N Michigan Ave, Chicago, IL 60601-5906"
Harris Theater,"205 E Randolph St, Chicago, IL 60601-6530"
Ukrainian National Museum,"2249 W Superior St, Chicago, IL 60612-1327"
Tilt,"875 N Michigan Ave Within Chicago 360, Chicago, IL 60611-1803"
St. John Cantius Church,"825 N Carpenter St, Chicago, IL 60642-5499"
Chicago Temple,"77 W Washington St across from Daley Plaza, Chicago, IL 60602-2801"
Color Factory Chicago, 
"Jane Addams Hull-House Museum l,ll","800 S Halsted St, Chicago, IL 60607-4497"
Loyola University Museum of Art (LUMA),"820 N Michigan Ave, Chicago, IL 60611-2147"
Chicago Chinatown,"318 W Cermak Rd, Chicago, IL 60616-1916"
Centennial Wheel,"600 E Grand Ave Navy Pier, Chicago, IL 60611-3419"
Bloomingdale's,"900 N Michigan Ave, Chicago, IL 60611-1542"
The Old Town of Chicago, 
Old St. Patrick's Church,"700 W Adams St At intersection with S Desplaines St, Chicago, IL 60661-3512"
Milton Lee Olive Park,"500 N Lake Shore Dr, Chicago, IL 60611-3779"
Mindworks: The Science Of Thinking,"224 S Michigan Ave, Chicago, IL 60604-2505"
Lurie Garden, 
The 606,"1805 N Ridgeway Ave runs east-west to 3700 W. Bloomingdale, Chicago, IL 60647"
Historic Water Tower,"806 N Michigan Ave, Chicago, IL 60611-2103"
Prairie Avenue Historic District,"2200 South Prairie Ave South Michigan Avenue, Chicago, IL 60616"
Klairmont Kollections,"3117 N Knox Ave, Chicago, IL 60641-5200"
Fox in a Box Chicago,"47 W Polk St Suite L5, Chicago, IL 60605-2000"
Museum of Broadcast Communications,"360 N State St, Chicago, IL 60654-5411"
Oak Street,"Between State Street and Michigan Ave, Chicago, IL 60611-1297"
Marquette Building,"140 S Dearborn St, Chicago, IL 60603-5202"
Hyde Park, 
The Mercury Theater,"3745 N Southport Ave, Chicago, IL 60613-3718"
Montrose Beach,"4400 N. Lake Shore Dr, Chicago, IL 60613"
Rosehill Cemetery,"5800 N Ravenswood Ave, Chicago, IL 60660-3195"
St Peter's Church,"110 W Madison St, Chicago, IL 60602-4102"
Chicago Jazz Festival,"78 E Washington St, Chicago, IL 60602-4801"
Ukrainian Village, 
Intuit: The Center for Intuitive and Outsider Art,"756 N. Milwaukee Avenue Chicago Blue Line CTA Stop, Chicago, IL 60642-5939"
Monadnock Building,"53 W Jackson Blvd, Chicago, IL 60604-3606"
Chicago Loop Synagogue,"16 S Clark St, Chicago, IL 60603-1801"
Oz Park,"2021 N Burling St, Chicago, IL 60614-4416"
Chicago Opera Theater,"205 E Randolph St, Chicago, IL 60601-6530"
Museum of Contemporary Photography,"At Columbia College Chicago 600 S. Michigan Ave., Chicago, IL 60605"
Chicago Blues Festival,"337 E Randolph Dr, Chicago, IL 60601-7403"
The 900 Shops Mall,"900 N Michigan Ave, Chicago, IL 60611-1542"
The Magic Parlour,"17 E Monroe St Palmer House A Hilton Hotel, Chicago, IL 60603"
Route 66, 
Pullman Historic District,"11141 S Cottage Grove Ave, Chicago, IL 60628-4651"
Swedish American Museum,"5211 N Clark St, Chicago, IL 60640-2101"
Lake Shore Place,"680 N Lake Shore Dr, Chicago, IL 60611-4546"
Black Ensemble Theater,"4450 N Clark St, Chicago, IL 60640-5404"
Charnley-Persky House,"1365 N Astor St, Chicago, IL 60610-2144"
Chicago Marathon,"301 S Columbus Dr Grand Park, Chicago, IL 60605"
Nordstrom,"55 E Grand Ave, Chicago, IL 60611-5610"
Aqua Tower,"225 N Columbus Dr Ste 220, Chicago, IL 60601-7910"
Lagunitas Brewing Company,"2607 W 17th St, Chicago, IL 60608-1823"
Chicago Cultural Center Welcome Center,"77 E Randolph Street, Chicago, IL 60602"
Jackson Bark - Dog Park,"6000 S. Lake Shore Drive, Chicago, IL 60637"
Palmer House Hilton Historic Lobby,"17 E Monroe St, Chicago, IL 60603-5608"
Fine Arts Building,"410 S Michigan Ave, Chicago, IL 60605-1308"
Chicago Pedway, 
Greektown,"306 S Halsted St, Chicago, IL 60661-5425"
Music Box Theatre,"3733 N Southport Ave, Chicago, IL 60613-3718"
Ed Paschke Art Center,"5415 W Higgins Ave, Chicago, IL 60630-2284"
TimeLine Theatre,"615 W Wellington Ave, Chicago, IL 60657-5305"
McCormick Tribune Ice Rink, 
French Market,"131 N Clinton St, Chicago, IL 60661-1506"
Greenhouse Theater Center,"2257 N Lincoln Ave, Chicago, IL 60614-3717"
Chicago Air and Water Show, 
The Den Theatre,"1333 N Milwaukee Ave Fl 2, Chicago, IL 60622-9151"
Neo-Futurists,"5153 N Ashland Ave, Chicago, IL 60640-2831"
Park West,"322 W Armitage Ave, Chicago, IL 60614-4792"
Apollo Theater Chicago,"2540 N Lincoln Ave, Chicago, IL 60614-2314"
Chicago Distilling Company,"2359 N Milwaukee Ave, Chicago, IL 60647-2924"
Balzekas Museum of Lithuanian Culture,"6500 S Pulaski Rd, Chicago, IL 60629-5150"
Lake Shore East Park,"450 E Benton Pl,, Chicago, IL 60601"
The Moody Church,"1635 N La Salle Dr, Chicago, IL 60614-6004"
Smart Museum of Art,"5550 S Greenwood Ave The University of Chicago, Chicago, IL 60637-1506"
Green City Market, 
Pritzker Military Museum & Library,"104 S Michigan Ave Second Floor - Public Entrance, Chicago, IL 60603-5902"
Wrigleyville, 
Our Lady of Sorrows Basilica,"3121 W Jackson Blvd, Chicago, IL 60612-2729"
Court Theater,"5535 S Ellis Ave, Chicago, IL 60637-1401"
The Shops at North Bridge,"520 N Michigan Ave, Chicago, IL 60611-6982"
Revolution Brewing - Brewery & Taproom,"3340 N Kedzie Ave, Chicago, IL 60618-5722"
Reliance Building,"1 W Washington St, Chicago, IL 60602-1603"
Broadway Playhouse,"175 E Chestnut St Water Tower Place, Chicago, IL 60611-2202"
Pullman National Monument Information Center,"11141 S Cottage Grove Ave, Chicago, IL 60628-4651"
Emil Bach House by Frank Lloyd Wright,"7415 N Sheridan Rd, Chicago, IL 60626-2011"
The Lyric Opera House,"20 N Wacker Dr 60606, Chicago, IL 60606-2806"
BP Pedestrian Bridge,"201 E Randolph St In Millenium Park, Chicago, IL 60601-6530"
Wrigley View Rooftop,"1050 W Waveland Ave, Chicago, IL 60613-4318"
Lincoln Hall,"2424 N Lincoln Ave, Chicago, IL 60614-2415"
Lincoln Monument,"2200 N Stockton Dr, Chicago, IL 60614-4742"
Chicago Maritime Museum,"1200 W 35th St Ste 0E-5010, Chicago, IL 60609-1305"
Chase Tower,"4799 W Madison St, Chicago, IL 60644-3616"
Kingston Mines,"2548 N Halsted St, Chicago, IL 60614-2348"
Vietnam Veterans Fountain,"35 E Wacker Dr, Chicago, IL 60601-2314"
Daley Bicentennial Plaza,"337 E Randolph Dr, Chicago, IL 60602-1305"
Second Presbyterian Church of Chicago,"1936 S Michigan Ave, Chicago, IL 60616-1604"
Windy City Playhouse,"3014 W Irving Park Rd, Chicago, IL 60618-3514"
Navy Pier Festival Hall Complex,"600 E Grand Ave, Chicago, IL 60611-3419"
Blue Chicago,"536 N Clark St, Chicago, IL 60654-7136"
Second City,"1616 N Wells St Located in Pipers Alley, Chicago, IL 60614-6002"
WHIM Chicago @ Stage 773,"1225 W Belmont Ave, Chicago, IL 60657-3205"
Briar Street Theatre,"3133 N Halsted St, Chicago, IL 60657-4436"
Sullivan Center,"1 S State St, Chicago, IL 60603-2802"
Elks National Memorial,"2750 N Lakeview Ave, Chicago, IL 60614-2256"
Blue Man Group,"3133 N Halsted St, Chicago, IL 60657"
Daley Center,"48 W Washington St Chicago, IL, Chicago, IL 60602"
London Guarantee Building,"360 N Michigan Ave, Chicago, IL 60601-3814"
Chess Records,"2120 S Michigan Ave, Chicago, IL 60616-1713"
Half Acre Beer Company,"4257 N Lincoln Ave, Chicago, IL 60618-2953"
Lollapalooza,"337 E Randolph Dr, Chicago, IL 60601-7403"
Polish Museum of America,"984 N Milwaukee Ave, Chicago, IL 60642-4101"
Begyle Brewing,"1800 W Cuyler Ave Suite 1E, Chicago, IL 60613-1295"
Chicago Magic Lounge,"5050 N Clark St., Chicago, IL 60640-4999"
Agora Scuptures,"S. Michigan Ave. & E. Roosevelt Dr., Chicago, IL 60605"
Foster Avenue Beach,"5200 N Lake Shore Dr, Chicago, IL 60686-0001"
Chase Auditorium,"10 S Dearborn St Chase Tower, Chicago, IL 60603-2300"
Lincoln Square,"4731 N Lincoln Ave, Chicago, IL 60625-2009"
Victory Gardens Theater,"2433 N Lincoln Ave, Chicago, IL 60614-2414"
Montrose Point Bird Sanctuary,"4400 North Simonds Drive, Chicago, IL 60640"
EscapeHouse Chicago,"54 E Ontario St, Chicago, IL 60611-4755"
Ragnarok Axe Throwing,"410 S Michigan Ave Fine Arts Building, Chicago, IL 60605-1301"
Chief Chicago Limo,"300 N State St, Chicago, IL 60654-5414"
Jay Pritzker Pavilion, 
Andy's Jazz Club,"11 E Hubbard St, Chicago, IL 60611-5631"
Paniq Escape Room Chicago,"1200 W Lake St, Chicago Fulton Market, Chicago, IL 60607-1653"
Chicago’s First Lady Cruises, 
Monument with Standing Beast,"100 W Randolph St, Chicago, IL 60601-3218"
Taste of Chicago,"337 E Randolph Dr, Chicago, IL 60601-7403"
Allure De Vie Salon & Day Spa,"6400 N Northwest Hwy 7 min from O'hare Airport, Chicago, IL 60631-1877"
Jazz Showcase,"806 S Plymouth Ct, Chicago, IL 60605-2002"
Symphony Center - Chicago Symphony Orchestra,"220 S Michigan Ave Chicago Symphony Centre, Chicago, IL 60604"
Shoreline Sightseeing, 
Buddy Guy's Legends,"700 S Wabash Ave, Chicago, IL 60605-2111"
On Tour Brewing Company,"1725 W Hubbard St, Chicago, IL 60622-6213"
Escape Artistry - The Railcar,"1579 N Milwaukee Ave Suite 350 Suite 350, Chicago, IL 60622-2452"
Centennial Fountain And Water Arc,"400 N McClurg Ct, Chicago, IL 60611-4323"
Miro's Chicago,"69 W Washington St, Chicago, IL 60602-3134"
Drunk Shakespeare,"182 N Wabash Ave, Chicago, IL 60601-3624"
American Girl Place Chicago,"835 N Michigan Ave Water Tower Place, Chicago, IL 60611-2203"
Millennium Monument,"201 E Randolph St Millennium Park, Wrigley Square, Chicago, IL 60601-6530"
Lake Point Tower,"505 N Lake Shore Dr, Chicago, IL 60611-3427"
Ping Tom Memorial Park,"300 W. 19th St., Chicago, IL 60616"
Motor Row Brewing,"2337 S Michigan Ave, Chicago, IL 60616-2104"
Humboldt Park,"1400 N Sacramento Ave, Chicago, IL 60622-2799"
wndr museum,"1130 W Monroe St, Chicago, IL 60607-2500"
The Field Museum Store,"10000 W Ohare Ave Terminal 3, Concourse K, Gate K-1, Chicago, IL 60666-6000"
Chicago Water Taxi,"400 N Michigan Ave, Chicago, IL 60611-4104"
Chicago Lakefront, 
Chinese-American Museum of Chicago,"238 W 23rd St, Chicago, IL 60616-1904"
Chicago Food Planet, 
Absolutely Chicago Segway Tours, 
Legendary Private Car,"5843 W Strong St, Chicago, IL 60630-2026"
Inside Chicago Walking Tours, 
Chicago Gangsters and Ghosts Tours, 
The Great Escape Room Chicago,"160 E Grand Ave Suite 400, Chicago, IL 60611-3800"
Tony n’ Tina’s Wedding,"1113 W Belmont Ave, Chicago, IL 60657-3312"
The Game Show Game Show,"410 S Michigan Ave Fine Arts Building, Chicago, IL 60605-1308"
Green Mill,"4802 N Broadway St, Chicago, IL 60640-3667"
Bad Axe Throwing Chicago (West Loop),"165 N Loomis St West Loop, Chicago, IL 60607-1527"
iFLY Indoor Skydiving - Chicago (Lincoln Park),"800 W Scott St, Chicago, IL 60642-0001"
House of Blues Chicago,"329 N Dearborn St, Chicago, IL 60654-2681"
Steppenwolf Theatre Company,"1650 N Halsted St Lincoln Park, Chicago, IL 60614-5518"
Fannie May,"343 N Michigan Ave, Chicago, IL 60601-3700"
ComedySportz Chicago,"230 W North Ave, Chicago, IL 60610-5089"
The Magic Penthouse,"505 N State St Kimpton Hotel Palomar Chicago, Chicago, IL 60654"
Trickery,"3453 N Halsted St, Chicago, IL 60657-2414"
Chicago Greeter, 
Chicago Architecture Center, 
Tommy Gun's Garage,"2114 S Wabash Ave, Chicago, IL 60616-1711"
Team vs Time,"2000 W Armitage Ave, Chicago, IL 60647-4514"
Cabaret Zazou,"32 W Randolph St 14th Floor, Chicago, IL 60601-3501"
Wendella, 
BATL Axe Throwing,"4842 W Irving Park Rd, Chicago, IL 60641-2718"
B.L.U.E.S.,"2519 N Halsted St, Chicago, IL 60614-2307"
Winter's Jazz Club,"465 N. McClurg Court, Chicago, IL 60611-5144"
Signature Lounge,"875 N Michigan Ave John Hancock Center, Chicago, IL 60611-1803"
Rosa's Lounge,"3420 W Armitage Ave, Chicago, IL 60647-3720"
Bobby's Bike Hike Chicago, 
Supernatural Chicago,"632 N Dearborn St Castle Nightclub, Chicago, IL 60654-3829"
Binny's Beverage Depot,"213 W Grand Ave, Chicago, IL 60654-7673"
Bad Axe Throwing Chicago (Lake View),"2828 N Clark St Atrium Level, Chicago, IL 60657"
We Gotta Bingo,"1113 W Belmont Ave, Chicago, IL 60657-3312"
P.O.S.H,"613 N State St, Chicago, IL 60654-3834"
St. James Cathedral,"65 E Huron St, Chicago, IL 60611-3844"
Windy City Massage,"909 N Michigan Ave, Chicago, IL 60611-1935"
The Hideout Inn,"1354 W Wabansia Ave Between Elston Ave. and Throop St, Chicago, IL 60642-1519"
The Spa at Eurostars Magnificent Mile,"660 N State St, Chicago, IL 60654-3830"
The Ritz-Carlton Chicago Spa,"160 E Pearson Street The Ritz-Carlton Chicago (A Four Seasons Hotel), Chicago, IL 60611"
Free Tours by Foot, 
Thalia Hall,"1807 S Allport St, Chicago, IL 60608-3205"
Royal George Theater,"1641 N Halsted St, Chicago, IL 60614-5597"
Aire Ancient Baths Chicago,"800 W Superior St, Chicago, IL 60644-0114"
Eataly,"43 E Ohio St, Chicago, IL 60611-2701"
Nitti's Supper Club,"33 W Kinzie St, Chicago, IL 60654-4613"
Powell's Books Chicago,"1501 E 57th St, Chicago, IL 60637-2007"
EJ Concierge Ride, 
Old Town School of Folk Music,"4544 N Lincoln Ave, Chicago, IL 60625-2103"
Underground Donut Tour, 
Chicago Crime Tours and Experiences, 
Chicago Sports Museum,"835 N Michigan Ave Level 7, Water Tower Place, Chicago, IL 60611-2203"
Lotties Pub,"1925 W Cortland St, Chicago, IL 60622-1038"
Sidetrack,"3349 N Halsted St, Chicago, IL 60657-2426"
The Chopping Block,"4747 N Lincoln Ave Lincoln Square, Chicago, IL 60625-2026"
The iO Theater,"1501 N Kingsbury St, Chicago, IL 60642-2533"
Lagunitas Taproom,"1843 S Washtenaw Ave, Chicago, IL 60608-2423"
Kings Dining & Entertainment Lincoln Park,"1500 N Clybourn Ave Suite C102, Chicago, IL 60610-3017"
Merz Apothecary,"4716 N Lincoln Ave, Chicago, IL 60625-2010"
Urban Kayaks, 
Chuan Spa,"330 N Wabash Ave The Langham, Chicago, IL 60611-3586"
The Map Room,"1949 N Hoyne Ave, Chicago, IL 60647-4560"
Redhead Piano Bar,"16 W Ontario St, Chicago, IL 60654-7581"
See it All Chicago Tours, 
Chicago River Boat Architecture Tours, 
Three Dots and a Dash,"435 N Clark St, Chicago, IL 60654-4540"
Spa at Four Seasons Hotel Chicago,"120 E Delaware Pl, Chicago, IL 60611-1443"
AceBounce,"230 N Clark St, Chicago, IL 60601-1526"
Ride In Bliss, 
Paniq Escape Room Chicago - Logan Square,"3061 W Logan Blvd, Chicago, IL 60647-2089"
Tall Ship Windy, 
Ghirardelli Chocolate Shop,"830 N Michigan Ave Ste 1, Chicago, IL 60611-2167"
City Cruises Chicago, 
The Drifter,"676 N Orleans St, Chicago, IL 60654-3916"
Harborside International Golf Center,"11001 S Doty Ave, Chicago, IL 60628-3800"
"Architectural Artifacts, Inc.","1065 New Orleans Sreet, Chicago, IL 60610"
Reckless Records,"3126 N Broadway St, Chicago, IL 60657-4523"
Segway Experience of Chicago, 
Metro,"3730 N Clark St, Chicago, IL 60613-3810"
UP Comedy Club,"230 W North Ave 3rd Floor, Piper's Alley, Chicago, IL 60610-5089"
Zanies Comedy Club,"1548 N Wells St Between North Ave. and Schiller St, Chicago, IL 60610-1308"
Iwan Reis Cigars & Tobacco,"19 S Wabash Ave 2nd Floor, Chicago, IL 60603-3023"
Headquarters Beercade,"213 W Institute Pl, Chicago, IL 60610-3121"
Chicago Pizza Tours, 
The Spa at Trump Chicago,"401 N. Wabash Avenue Trump International Hotel & Tower Chicago, Chicago, IL 60611-3583"
Richard's Bar,"491 N Milwaukee Ave, Chicago, IL 60654-5522"
Tours and Boats, 
Escape Artistry - Time Gallery,"1342 N Milwaukee Ave 2nd Floor, Chicago, IL 60622-9150"
The Quandary Escape Rooms,"3205 N Clark St, Chicago, IL 60657-1693"
Chicago Dine-Around, 
The Barrel Run, 
Wildlight Yoga,"4041 N Milwaukee Ave #302, Chicago, IL 60641-1834"
The Violet Hour,"1520 N Damen Ave, Chicago, IL 60622-1967"
Art Of Escape Room,"162 W Grand Ave Ll, Chicago, IL 60654-4475"
The Magic Cabaret,"2257 N Lincoln Avenue Greenhouse Theater Center, Chicago, IL 60614"
Emporium Wicker Park,"1366 N Milwaukee Ave, Chicago, IL 60622-9149"
Public House Chicago,"400 N State St, Chicago, IL 60654-5624"
Gene Siskel Film Center,"164 N State St, Chicago, IL 60601-3505"
The Annoyance - Theatre & Bar,"851 W Belmont Ave Fl 2, Chicago, IL 60657-4401"
The Book of Mormon, 
Thai Lotus Bodywork,"4554 N Broadway St Suite 216, Chicago, IL 60640-5642"
Myopic Books,"1564 N Milwaukee Ave, Chicago, IL 60622-2008"
ArcLight Cinemas,"1500 N Clybourn Ave Unit C301 Lincoln Park, Chicago, IL 60610-0750"
Tours With Mike, 
Nuts on Clark,"3830 N Clark St, Chicago, IL 60613-2812"
Game Of Imagination,"163 E Walton Pl, Chicago, IL 60611-7114"
The Beer Temple,"3185 N Elston Ave, Chicago, IL 60618-7133"
Cerise Rooftop,"203 N Wabash 26th Floor, Chicago, IL 60601-2424"
Hard Rock Cafe Chicago,"63 W Ontario St, Chicago, IL 60654-3808"
Secret Food Tours Chicago, 
City Mini Golf,"337 E Randolph Dr, Chicago, IL 60601-7403"
Old Town Ale House,"219 W North Ave, Chicago, IL 60610-2020"
Waldorf Astoria Spa,"11 E Walton St, Chicago, IL 60611-1412"
Free Chicago Walking Tours, 
Tranquil Waters Float,"7258 N Harlem Ave, Chicago, IL 60631-4335"
Whirlyball Chicago,"1825 W Webster Ave, Chicago, IL 60614-2915"
Spa at the Peninsula Chicago,"108 E Superior St, Chicago, IL 60611"
Babylon Tours Chicago, 
Chicago's Finest Tours, 
Farmhouse,"228 W Chicago Ave, Chicago, IL 60654-3107"
Bike and Roll, 
The Hypocrites,"1329 N Milwaukee Ave, Chicago, IL 60622-9151"
MileNorth Hotel,"166 E Superior St, Chicago, IL 60611-2924"
Wateriders, 
Art Room Events,"1821 W Hubbard St 3rd Floor, Chicago, IL 60622-6202"
Chicago Fireboat Tours, 
The Lodge,"21 W Division St, Chicago, IL 60610-2216"
Chicago Private Tours, 
Chicago Detours, 
BigBus Chicago, 
Brain Drain Escape Rooms,"11 E Illinois St 4th Floor, Chicago, IL 60611-5652"
Chicago Line Cruises, 
AMC Dine-in Theatres Block 37,"108 N State St Ste 434, Chicago, IL 60602-1608"
Bobby's Bike Hike,"540 N Lake Shore Dr, Chicago, IL 60611-3414"
Flanagan's Wake,"1113 W Belmont Ave, Chicago, IL 60657-3312"
LUXBAR,"18 E Bellevue Pl, Chicago, IL 60611-1111"
"Mercury, Chicago's Skyline Cruiseline", 
BIG Bar,"151 E Wacker Dr, Chicago, IL 60601-3764"
Untouchable Tours, 
Hopleaf,"5148 N Clark St, Chicago, IL 60640-2828"
Bixbee Imagination Station,"915 W North Ave, Chicago, IL 60642-2507"
ROOF on theWit,"201 N State St The Wit Hotel, Chicago, IL 60601-2402"
Echo Limousine, 
Rek Travel, 
Haymarket Pub & Brewery,"737 W Randolph St, Chicago, IL 60661-2103"
Streeter's Tavern,"50 E Chicago Ave, Chicago, IL 60611-2063"
"Come Sailing, Inc.", 
Tours by Doorways Of Chicago, 
City Running Tours-Chicago, 
Two Lane America, 
Chicago Food Walks with Rebecca Wheeler, 
Chicago Prohibition Tours, 
L Stop Tours, 
City Experiences By Hornblower, 
Studio W.I.P. By Native 312 Events, 
Offbeat Street Art Tour, 
WeVenture Chicago, 
Chicago Elevated, 
Vice district Brewing,"1454 S Michigan Ave Suite 1, Chicago, IL 60605-2811"
Steve's Segway Tours, 
Chicago Foodways Tours, 
Walk Chicago Tours, 
Family Secrets Tour Chicago, 
O'Hare Limousine, 
Tastebud Tours - Chicago Food Tours, 
Sidewalk Food Tours of Chicago, 
Scott Green: The Magician In The Box,"515 N Clark St The Scott Green Theater, Chicago, IL 60654-3279"
Chicago Beer Experience, 
Chicago Travel & Tours, 
City Segway Tours Chicago, 
Snickers Bar & Grill,"448 N State St, Chicago, IL 60654-5610"
Pizza City USA, 
Theory Sports Bar and Grill,"9 W Hubbard St, Chicago, IL 60654-8484"
Stocks and Blondes Bar and Grille,"40 N Wells St, Chicago, IL 60606-3316"
Kayak Chicago, 
UNO Pizzeria & Grill Cooking Class,"619 N Wabash Ave, Chicago, IL 60611-2713"
